"user","url","likes_scaled","likes_bin2","likes_bin3"
"adwoaaboah","https://www.instagram.com/p/BtEMS9fn18q/",-1.10181687261626,"low","low"
"adwoaaboah","https://www.instagram.com/p/Bs9UIHyHK_e/",0.438654557968048,"high","high"
"adwoaaboah","https://www.instagram.com/p/Bs81NYbn1lp/",-0.221277422260698,"low","med"
"adwoaaboah","https://www.instagram.com/p/Bs8jdatHrF8/",-0.850733377013602,"low","low"
"adwoaaboah","https://www.instagram.com/p/Bs6_ICXnCBY/",-1.1134458823373,"low","low"
"adwoaaboah","https://www.instagram.com/p/Bs1RK6gnToU/",-1.15807149106978,"low","low"
"adwoaaboah","https://www.instagram.com/p/BsQ9mPsnedD/",-0.292025338543901,"low","low"
"adwoaaboah","https://www.instagram.com/p/BsNpGMgHmG7/",0.621224282012234,"high","high"
"adwoaaboah","https://www.instagram.com/p/BsNS5HSnNF_/",-0.968799332851401,"low","low"
"adwoaaboah","https://www.instagram.com/p/Br2qmo_H63-/",0.398955524782413,"high","high"
"adwoaaboah","https://www.instagram.com/p/Br2qMOmn4u6/",-0.993374924823461,"low","low"
"adwoaaboah","https://www.instagram.com/p/Bryf2ZQH3Q_/",-0.220761850401144,"low","med"
"adwoaaboah","https://www.instagram.com/p/BrsNuzqn-jf/",-0.824324640652018,"low","low"
"adwoaaboah","https://www.instagram.com/p/BrqTvQbnYvr/",0.158928181279076,"high","med"
"adwoaaboah","https://www.instagram.com/p/BrYlNALnPSO/",-1.10714444849831,"low","low"
"adwoaaboah","https://www.instagram.com/p/BrOA2yFHASq/",-0.369303831714784,"low","low"
"adwoaaboah","https://www.instagram.com/p/BrNf8pcHRIh/",-0.807826341146299,"low","low"
"adwoaaboah","https://www.instagram.com/p/BrNfLvxHp_w/",-1.09952544212935,"low","low"
"adwoaaboah","https://www.instagram.com/p/BrBBolSHNMO/",-0.996411070218611,"low","low"
"adwoaaboah","https://www.instagram.com/p/Bq7kUh5Hn0p/",-0.688099098205494,"low","low"
"adwoaaboah","https://www.instagram.com/p/Bqw524OnWUD/",-0.736047281143989,"low","low"
"adwoaaboah","https://www.instagram.com/p/BqqH1DOHbtV/",0.58765482537907,"high","high"
"adwoaaboah","https://www.instagram.com/p/BqnImCbHM1K/",-0.22763614186186,"low","med"
"adwoaaboah","https://www.instagram.com/p/Bqf_pxnHeMt/",-0.778381459389565,"low","low"
"adwoaaboah","https://www.instagram.com/p/BqfdG3eHrlr/",-1.1293713242213,"low","low"
"adwoaaboah","https://www.instagram.com/p/Bqc7JrQHLOj/",-0.968856618613574,"low","low"
"adwoaaboah","https://www.instagram.com/p/BqC10vRHcj3/",-0.587791728641211,"low","low"
"adwoaaboah","https://www.instagram.com/p/Bp-bsSKHphY/",-0.856920239328247,"low","low"
"adwoaaboah","https://www.instagram.com/p/Bp9qt41HYK6/",-0.672173656321501,"low","low"
"adwoaaboah","https://www.instagram.com/p/Bp2OppDniDP/",-0.47098605957121,"low","low"
"adwoaaboah","https://www.instagram.com/p/BpzYafQHpe1/",-0.759591729396941,"low","low"
"adwoaaboah","https://www.instagram.com/p/Bpra34-nDE7/",1.35310717952981,"high","high"
"adwoaaboah","https://www.instagram.com/p/BpmXfeuHKn2/",-0.806508768616329,"low","low"
"adwoaaboah","https://www.instagram.com/p/BphACwLnKOM/",0.0243066401733852,"high","med"
"adwoaaboah","https://www.instagram.com/p/Bpb-lMinMtd/",-0.820543780348624,"low","low"
"adwoaaboah","https://www.instagram.com/p/BpaP7hxHvYw/",0.051746520254077,"high","med"
"adwoaaboah","https://www.instagram.com/p/BpZ5H23nIEg/",-0.131911633271388,"low","med"
"adwoaaboah","https://www.instagram.com/p/BpKOTINHWb1/",1.24575366121829,"high","high"
"adwoaaboah","https://www.instagram.com/p/BpH8PfhH2sy/",-0.223683424271948,"low","med"
"adwoaaboah","https://www.instagram.com/p/BpCvO8_ndzo/",0.121749721629036,"high","med"
"adwoaaboah","https://www.instagram.com/p/BpCA2ZGHkbe/",-0.869752250054917,"low","low"
"adwoaaboah","https://www.instagram.com/p/Bo4QkWAhham/",-0.862591529783338,"low","low"
"adwoaaboah","https://www.instagram.com/p/Bo4QaLEBtJq/",-0.667418938061173,"low","low"
